SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,MIN,PTS,REB,AST,TOV,PLUS_MINUS,FG_PCT,FG3_PCT,FT_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,normalized_player_name,player_group,bucks_guard_position,roster_guard_source,AST_TOV_CALC,playmaking_value_index,scoring_efficiency_index,half_court_creator_index,turnover_risk_index,performance_argument_score
2024-25,1631157,Ryan Rollins,1610612749,MIL,22.0,56,14.6,6.2,1.9,1.9,0.9,1.5,0.487,0.408,0.8,114.0,108.6,5.4,0.173,1.96,23.3,11.9,0.577,0.6,0.179,101.74,0.088,ryan rollins,Milwaukee Bucks Guard,Bucks Guard,Roster Position,2.111111111111111,14.209999999999999,30.856,30.015099999999997,5.965,27.927349999999997
2024-25,1631260,AJ Green,1610612749,MIL,25.0,73,22.7,7.4,2.4,1.5,0.5,3.1,0.429,0.427,0.815,114.0,107.6,6.4,0.086,2.7,18.6,6.9,0.612,0.621,0.123,100.84,0.058,aj green,Milwaukee Bucks Guard,Bucks Guard,Roster Position,3.0,11.24,32.779,29.054650000000002,3.415,27.8594
2024-25,1626192,Pat Connaughton,1610612749,MIL,32.0,41,14.7,5.3,2.7,1.7,0.6,-0.3,0.469,0.321,0.774,111.7,114.6,-2.9,0.159,2.92,24.7,8.5,0.542,0.567,0.151,99.41,0.088,pat connaughton,Milwaukee Bucks Guard,Bucks Guard,Roster Position,2.8333333333333335,14.94,27.937,29.164950000000005,4.175,27.703700000000005
2024-25,1629018,Gary Trent Jr.,1610612749,MIL,26.0,74,25.6,11.1,2.3,1.2,0.6,0.9,0.431,0.416,0.848,115.9,114.0,1.9,0.064,2.07,10.6,5.1,0.568,0.591,0.168,100.75,0.07,gary trent jr,Milwaukee Bucks Guard,Bucks Guard,Roster Position,2.0,8.365,34.556999999999995,28.2857,2.9849999999999994,27.240949999999998
2024-25,1641748,Andre Jackson Jr.,1610612749,MIL,23.0,67,14.6,3.4,2.7,1.2,0.9,-0.5,0.477,0.395,0.5,110.6,112.1,-1.5,0.109,1.43,23.8,16.6,0.553,0.554,0.115,101.48,0.051,andre jackson jr,Milwaukee Bucks Guard,Bucks Guard,Roster Position,1.3333333333333333,8.755,26.85,25.272750000000002,7.61,22.609250000000003
2024-25,1630649,Stanley Umude,1610612749,MIL,26.0,22,3.9,0.7,0.8,0.2,0.1,-0.7,0.192,0.2,0.5,85.6,95.8,-10.1,0.071,1.33,11.4,8.6,0.25,0.27,0.137,107.72,0.022,stanley umude,Milwaukee Bucks Guard,Bucks Guard,Roster Position,2.0,5.285,12.410000000000002,15.810250000000002,3.21,14.686750000000002
2025-26,201935,James Harden,1610612739,CLE,36.0,70,34.8,23.6,4.8,8.0,3.5,1.4,0.434,0.375,0.884,118.8,117.0,1.8,0.347,2.27,26.1,11.5,0.529,0.61,0.279,98.24,0.143,james harden,James Harden,External Free Agent Target,Harden Target,2.2857142857142856,36.035,44.730000000000004,47.35475,11.024999999999999,43.496
2025-26,1629645,Kevin Porter Jr.,1610612749,MIL,25.0,38,33.2,17.4,5.2,7.4,2.9,-2.8,0.465,0.322,0.878,111.4,116.1,-4.7,0.336,2.55,28.8,11.3,0.51,0.567,0.236,99.18,0.132,kevin porter jr,Milwaukee Bucks Guard,Bucks Guard,Roster Position,2.5517241379310347,35.115,37.629,43.623400000000004,9.754999999999999,40.20915
2025-26,1631157,Ryan Rollins,1610612749,MIL,23.0,74,32.1,17.3,4.6,5.6,2.7,-2.4,0.472,0.406,0.796,113.3,116.5,-3.2,0.264,2.06,24.2,11.7,0.561,0.583,0.236,99.55,0.111,ryan rollins,Milwaukee Bucks Guard,Bucks Guard,Roster Position,2.074074074074074,26.4,39.117,39.540949999999995,9.495000000000001,36.217699999999994
2025-26,1642504,Cormac Ryan,1610612749,MIL,27.0,11,24.6,14.3,2.5,1.7,1.5,-1.6,0.52,0.458,0.923,116.0,119.0,-3.1,0.11,1.12,12.8,11.5,0.652,0.692,0.206,96.73,0.104,cormac ryan,Milwaukee Bucks Guard,Bucks Guard,Roster Position,1.1333333333333333,8.93,41.156,30.9161,7.0249999999999995,28.45735
2025-26,1631260,AJ Green,1610612749,MIL,26.0,78,29.1,10.4,2.7,1.9,1.0,-1.9,0.424,0.419,0.855,113.1,116.7,-3.6,0.09,2.03,17.6,8.7,0.612,0.627,0.135,99.28,0.058,aj green,Milwaukee Bucks Guard,Bucks Guard,Roster Position,1.9,10.844999999999999,35.293,29.627299999999998,5.045,27.861549999999998
2025-26,203914,Gary Harris,1610612749,MIL,31.0,48,13.8,2.7,1.3,1.1,0.4,-2.8,0.442,0.412,0.889,105.9,115.5,-9.6,0.105,2.68,28.8,10.7,0.577,0.593,0.082,98.9,0.048,gary harris,Milwaukee Bucks Guard,Bucks Guard,Roster Position,2.75,10.92,27.858999999999998,26.34665,4.545,24.7559
2025-26,1629018,Gary Trent Jr.,1610612749,MIL,27.0,65,21.2,8.1,1.0,1.2,0.6,-5.4,0.387,0.36,0.769,107.9,120.4,-12.4,0.082,1.93,12.9,6.7,0.517,0.533,0.167,99.53,0.047,gary trent jr,Milwaukee Bucks Guard,Bucks Guard,Roster Position,2.0,8.875,29.455000000000002,25.9805,3.545,24.73975
2025-26,1641748,Andre Jackson Jr.,1610612749,MIL,24.0,48,8.5,2.4,1.5,0.9,0.6,-1.5,0.328,0.25,0.625,103.2,110.6,-7.5,0.16,1.39,20.7,14.9,0.391,0.425,0.17,100.27,0.044,andre jackson jr,Milwaukee Bucks Guard,Bucks Guard,Roster Position,1.5,10.285000000000002,19.795,22.905,6.415,20.659750000000003
